Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
129.15,-0.052,-0.051,-2.074
129.2,-0.053,-0.052,-2.073
129.75,-0.052,-0.051,-2.074
129.8,-0.052,-0.052,-2.073
129.85,-0.053,-0.051,-2.075
130.4,-0.052,-0.051,-2.074
130.45,-0.052,-0.051,-2.073
130.5,-0.051,-0.051,-2.072
131.06,-0.052,-0.051,-2.073
131.11,-0.052,-0.051,-2.073
131.66,-0.052,-0.051,-2.073
131.71,-0.052,-0.051,-2.073
132.26,-0.052,-0.051,-2.073
132.31,-0.052,-0.051,-2.073
132.36,-0.053,-0.051,-2.074
132.91,-0.051,-0.051,-2.073
132.96,-0.052,-0.05,-2.073
133.01,-0.053,-0.051,-2.074
133.56,-0.052,-0.051,-2.074
133.61,-0.053,-0.051,-2.073
133.66,-0.052,-0.052,-2.072
134.22,-0.053,-0.051,-2.073
134.27,-0.052,-0.051,-2.072
134.32,-0.051,-0.051,-2.071
134.87,-0.053,-0.051,-2.071
134.92,-0.052,-0.051,-2.072
135.47,-0.052,-0.051,-2.071
135.52,-0.052,-0.051,-2.072
135.57,-0.051,-0.051,-2.072
136.12,-0.052,-0.051,-2.071
136.17,-0.052,-0.05,-2.071
136.72,-0.052,-0.051,-2.07
136.78,-0.053,-0.051,-2.071
136.83,-0.053,-0.051,-2.07
137.38,-0.053,-0.051,-2.07
137.43,-0.053,-0.051,-2.07
137.48,-0.053,-0.051,-2.07
138.03,-0.052,-0.051,-2.069
138.08,-0.052,-0.05,-2.07
138.13,-0.052,-0.051,-2.069
138.68,-0.052,-0.051,-2.07
138.73,-0.053,-0.05,-2.07
139.29,-0.052,-0.051,-2.07
139.34,-0.052,-0.051,-2.069
139.39,-0.053,-0.051,-2.069
139.94,-0.052,-0.051,-2.07
139.99,-0.052,-0.051,-2.069
140.54,-0.052,-0.051,-2.07
140.59,-0.053,-0.051,-2.069
140.65,-0.052,-0.051,-2.069
141.2,-0.052,-0.051,-2.069
141.25,-0.052,-0.051,-2.069
141.3,-0.052,-0.051,-2.069
141.85,-0.052,-0.051,-2.069
141.9,-0.052,-0.051,-2.069
141.95,-0.052,-0.051,-2.069
142.5,-0.052,-0.051,-2.069
142.55,-0.052,-0.051,-2.069
143.11,-0.052,-0.051,-2.068
143.16,-0.052,-0.051,-2.069
143.71,-0.052,-0.051,-2.069
143.76,-0.052,-0.052,-2.069
143.81,-0.052,-0.051,-2.069
144.36,-0.053,-0.051,-2.07
144.41,-0.052,-0.051,-2.069
144.46,-0.053,-0.051,-2.069
145.01,-0.052,-0.051,-2.07
145.07,-0.051,-0.051,-2.069
145.12,-0.051,-0.052,-2.068
145.67,-0.051,-0.052,-2.069
145.72,-0.051,-0.052,-2.069
145.77,-0.051,-0.051,-2.07
146.32,-0.051,-0.051,-2.07
146.37,-0.051,-0.051,-2.069
146.92,-0.051,-0.051,-2.071
146.97,-0.052,-0.051,-2.07
147.02,-0.051,-0.051,-2.069
147.57,-0.051,-0.051,-2.07
147.62,-0.051,-0.051,-2.069
148.17,-0.05,-0.052,-2.07
148.22,-0.051,-0.051,-2.069
148.28,-0.051,-0.052,-2.069
148.83,-0.051,-0.051,-2.07
148.88,-0.051,-0.051,-2.071
148.93,-0.05,-0.051,-2.071
149.48,-0.05,-0.052,-2.072
149.53,-0.052,-0.051,-2.071
149.58,-0.053,-0.051,-2.073
150.13,-0.052,-0.051,-2.071
150.18,-0.054,-0.051,-2.073
150.74,-0.053,-0.051,-2.072
150.79,-0.054,-0.052,-2.071
151.34,-0.053,-0.051,-2.071
151.39,-0.053,-0.052,-2.072
151.44,-0.052,-0.051,-2.072
151.99,-0.052,-0.051,-2.073
152.04,-0.052,-0.051,-2.072
152.09,-0.052,-0.051,-2.072
152.64,-0.052,-0.051,-2.073
152.69,-0.053,-0.051,-2.072
152.75,-0.053,-0.051,-2.072
153.3,-0.053,-0.051,-2.072
153.35,-0.053,-0.051,-2.072
153.4,-0.052,-0.051,-2.072
153.95,-0.053,-0.051,-2.073
154.0,-0.052,-0.051,-2.073
154.55,-0.052,-0.051,-2.073
154.6,-0.052,-0.051,-2.073
155.15,-0.052,-0.051,-2.073
155.2,-0.052,-0.051,-2.073
155.26,-0.052,-0.051,-2.073
155.81,-0.052,-0.051,-2.073
155.86,-0.052,-0.051,-2.073
155.91,-0.052,-0.051,-2.073
156.46,-0.052,-0.051,-2.073
156.51,-0.052,-0.051,-2.073
156.56,-0.052,-0.051,-2.073
157.11,-0.052,-0.051,-2.073
157.16,-0.052,-0.051,-2.073
157.21,-0.052,-0.051,-2.073
157.76,-0.052,-0.051,-2.073
157.81,-0.052,-0.051,-2.073
158.37,-0.052,-0.051,-2.073
158.42,-0.052,-0.051,-2.073
158.47,-0.052,-0.051,-2.074
159.02,-0.052,-0.051,-2.074
159.07,-0.052,-0.052,-2.074
159.12,-0.052,-0.052,-2.074
159.67,-0.052,-0.052,-2.074
159.72,-0.052,-0.052,-2.074
160.27,-0.052,-0.051,-2.074
160.32,-0.052,-0.052,-2.074
160.38,-0.052,-0.052,-2.074
160.93,-0.052,-0.052,-2.074
160.98,-0.052,-0.052,-2.074
161.03,-0.052,-0.052,-2.074
161.58,-0.052,-0.052,-2.074
161.63,-0.052,-0.052,-2.074
162.18,-0.052,-0.052,-2.074
162.23,-0.052,-0.052,-2.074
162.28,-0.052,-0.052,-2.073
162.83,-0.052,-0.052,-2.073
162.88,-0.052,-0.052,-2.073
162.93,-0.052,-0.052,-2.073
163.49,-0.052,-0.052,-2.073
163.54,-0.052,-0.051,-2.073
164.09,-0.052,-0.052,-2.073
164.14,-0.052,-0.052,-2.073
164.19,-0.052,-0.052,-2.073
164.74,-0.052,-0.052,-2.073
164.79,-0.052,-0.052,-2.073
164.84,-0.052,-0.052,-2.073
165.39,-0.052,-0.051,-2.073
165.44,-0.052,-0.052,-2.073
165.49,-0.052,-0.051,-2.073
166.05,-0.052,-0.051,-2.072
166.1,-0.052,-0.051,-2.072
166.65,-0.052,-0.051,-2.072
166.7,-0.052,-0.052,-2.072
166.75,-0.052,-0.052,-2.072
167.3,-0.052,-0.052,-2.072
167.35,-0.052,-0.051,-2.072
167.9,-0.052,-0.052,-2.072
167.95,-0.052,-0.051,-2.072
168.0,-0.052,-0.051,-2.072
168.56,-0.052,-0.051,-2.071
168.61,-0.052,-0.051,-2.071
168.66,-0.052,-0.051,-2.071
169.21,-0.052,-0.051,-2.071
169.26,-0.052,-0.051,-2.071
169.81,-0.052,-0.051,-2.071
169.86,-0.052,-0.051,-2.071
169.91,-0.052,-0.051,-2.071
170.46,-0.052,-0.051,-2.071
170.51,-0.052,-0.052,-2.07
171.07,-0.052,-0.051,-2.07
171.12,-0.052,-0.051,-2.07
171.17,-0.052,-0.051,-2.07
171.72,-0.052,-0.051,-2.07
171.77,-0.052,-0.051,-2.07
171.82,-0.052,-0.051,-2.07
172.37,-0.052,-0.051,-2.07
172.42,-0.052,-0.051,-2.069
172.47,-0.052,-0.051,-2.069
173.03,-0.052,-0.051,-2.069
173.08,-0.052,-0.051,-2.069
